School,Location,City,Country,Description
"SIT: Ghana, Globalization, Cultural Legacies & the Afro-Chic","Accra, Ghana",Accra,Ghana,"Overview:
Experience West Africa through immersion in Ghanaian cities, which challenge stereotypes of Africa and position the continent as a global economic, political, and cultural force. Through coursework and an independent study project, you will: Experience Afropolitanism and the Afro-Chic through fashion, music, and cuisine, Learn about the continuities and discontinuities between Africa and the African Diaspora, Learn to speak Asante Twi, a language spoken by more than 2 million people, Visit Mole National Park, Ghana's largest wildlife park, and Conduct an independent study project or internship under the guidance of expert mentors on a variety of topics. Some past projects include: Ghana-China relations in the service industry, Evaluating the use of mobile phone apps to combat counterfeit drugs, Life histories of female entrepreneurs, The impact of West African contemporary music on the youth of Ghana
Minimum GPA: 2.5"
SIT: Nepal,"Kirtipur, Nepal",Kirtipur,Nepal,
Sotheby's Institute of Art,"London, United Kingdom",London,United Kingdom,"Overview:
Join students from all over the world on the Sotheby’s Institute of Art’s unique program in London. This is a full-time, fifteen-week program available during the fall or spring semester. Study Abroad students will gain a deep understanding of the art world, its museums and collections, dealers and auction houses, public and commercial galleries. Combining a global perspective on contemporary visual culture with matchless access to industry experiences, students will be equipped with the intellectual and professional skills that will benefit them both in their future employment and complement their studies at their home institution.
Minimum GPA: 3.0"
Technical University of Denmark (DTU),"Copenhagen, Denmark",Copenhagen,Denmark,"Overview:
**Note: Open to Engineering students, CALS students and Human Ecology students majoring in Design & Environmental Analysis.**
Study at one of the most dynamic and innovative technical universities in Europe. Technical University of Denmark (DTU) is home to 11,000 students with near 900 international exchange students each year from nearly 100 countries. Students get to challenge themselves academically with a selection of more than 1,200 courses taught in English at both undergraduate and graduate level within the natural and technical sciences. DTU offers a teaching environment where students are encouraged to participate actively in discussions in order to develop your critical and analytical skills and where students complete much of coursework in groups as the university's primary social engine. Students are able to put their entrepreneurial and innovative ideas to the test in their student innovation hub, DTU Skylab and maybe join one of the green study relevant projects.
Minimum GPA: 3.0"
Tecnológico de Monterrey (ITESM),"Mexico City, Mexico",Mexico City,Mexico,"Overview:
Tecnológico de Monterrey (Tec de Monterrey or ITESM) is one of Latin America’s largest and most prestigious universities with campuses throughout Mexico. It is also a Cornell Global Hub partner university. The Mexico City campus offers a comprehensive curriculum with courses available not only in the STEM fields but also humanities and social sciences. 
Minimum GPA: 3.0"
Tel Aviv University (TAU),"Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,Israel,"Overview:
Study and live in the vibrant city of Tel Aviv. Take classes in English while you learn or improve your Hebrew. Known for its nightlife and 24-hour culture, Tel Aviv is also the financial and technological center of Israel.  Though it is the 2nd largest city, Tel Aviv is the hub of the largest metropolitan area in the country, and its economy as a city is one of the largest in the Middle East.  Tel Aviv presents a great vantage point for Israel, Jewish or Middle East Studies, Environmental Studies, or Business. 
Minimum GPA: 3.0 "
"University College Dublin (UCD) School of Agriculture & Food Science - CALS ExchangeDublin, Ireland","Dublin, Ireland",Dublin,Ireland,"Overview:
*Note: Only for CALS*
University College Dublin is Ireland’s largest and most richly diversified university. Through an agreement between the College of Agriculture, Food Science & Veterinary Medicine (UCD) and CALS, undergraduate students may apply to enroll directly in the College of Agriculture, Food Science & Veterinary Medicine at UCD for a semester or a year. UCD is a vibrant, modern university of approximately 25,000 students situated on a spacious campus about 3 miles to the south of Dublin city center. It is ranked in the top 1% of the world's universities. UCD offers award-winning facilities and has been ranked Nr. 1 #1 For Research in Ireland (Times Higher Education Ranking, 2016). With over 100 clubs and student societies, UCD has something for everyone.
Minimum GPA: 3.0 
"
University College London,"London, United Kingdom",London,United Kingdom,"Overview:
**Note: For Spring 2025 the following UCL subjects are not open to study abroad applicants: Computer Science, Law, Planning**
University College London (UCL), founded in 1826, is the oldest and largest college of the University of London. It was the third university institution to be set up in England, after Oxford and Cambridge, and the first to admit students regardless of class, religion, race, or sex. University College London is situated near Regent's Park on a single campus in the heart of the Bloomsbury district, in the center of London. The spacious and beautiful original building houses many of the academic departments and the central library. The UCL campus is surrounded by other Schools and Institutes belonging to the University of London, with the British Museum and the British Library only yards away. The UCL Students' Union forms the focus of student social and cultural life at UCL as well as of political and sporting activities. Facilities are cramped but popular and include bars and coffee bars, games rooms, sports and stationery shops, printing facilities, meeting rooms, television, and a range of food services. There are over 100 cultural, sports, and art societies.
Minimum GPA: 3.3
"
University of Auckland,"Auckland, New Zealand",Auckland,New Zealand,"Overview:
The University of Auckland is New Zealand's largest and most comprehensive university, offering courses in over 100 subjects.  You can study here for one semester or a full academic year. At the University of Auckland, students enroll in 4 courses from the undergraduate student course catalog.  Visiting students are expected to meet required prerequisites for courses, especially in 3rd year or honors level courses.  Students are encouraged to make the most of their Study Abroad experience by choosing subjects and courses that are unique to New Zealand or unavailable at their home institution, like Maori and/or Pacific Studies. On campus, visiting students have access to a wide-range or sport and recreation, as well as clubs, societies and associations.  Connecting with student activities is the best way to make friends and get the most out of all that the University of Auckland has to offer.
Minimum GPA: 3.0"
University of Copenhagen,"Copenhagen, Denmark",Copenhagen,Denmark,"Overview:
The University of Copenhagen (KU) offers many courses in English in a variety of subject areas, therefore prior knowledge of the Danish language is not required for Cornell students to study here.  Coursework for undergraduate students consists of a mix of lectures and tutorials. Students at the University of Copenhagen have access to a range of extra-curricular activities through university clubs and associations and places affiliated with the university.  Examples include sports, music programs, and cultural and social associations.

The University of Copenhagen has four campus areas throughout the city (City Campus, North Campus, South Campus, and Frederiksberg Campus). As distances in Copenhagen are relatively small, it is easy to get from one campus to the other either by bicycle or public transportation.  The fall semester teaching period ends in December, but examinations can go into January and could potentially conflict with Cornell's spring semester start dates. University of Copenhagen faculty will do their best to offer early examinations for study abroad students in December, but this cannot be guaranteed.  In spring, students are enrolled from early-February through late-June.
Minimum GPA: 3.0"
University of Edinburgh,"Edinburgh, United Kingdom",Edinburgh,United Kingdom,"Overview:
The University of Edinburgh has been at the forefront of knowledge since it was founded in 1583.  Today, the University is proud to be one of the world’s top 20 universities, welcoming over 2,000 visiting students every year. Edinburgh offers a wide range of courses for Study Abroad students (see ""Academics"" tab for more details), and robust student and campus life.

The University of Edinburgh is a Cornell Global Hub partner university. Global Hubs are Cornell's collaborative centers of engagement around the world. Hubs will give students exciting opportunities for semester-long and short-term study abroad, field experience, participation in faculty-led research, curricular pathways through majors, internships, and more.

Students are encouraged to get involved with as many clubs and societies as possible while in Edinburgh, and there are over 240 to choose from: from Harry Potter to astrobiology, from chocolate to the Tango, there is a society out there for everyone. Edinburgh offers a range of university housing options for Study Abroad students.
Minimum GPA: 3.0
"
University of Natural Resources and Life Sciences (BOKU) - CALS Exchange,"Vienna, Austria",Vienna,Austria,"Overview:
**Note: Only offered to students in CALS**
There are no nuclear power plants in Austria. Most energy is generated with hydro-electric power plants. Lectures in the field of Water Resource Planning and Water Management are given at the ""Institute of Water Management, Hydrology and Hydraulic Engineering"". Austria has the highest percentage of organic farmers within the European Union. BOKU offers classes in the MSc ""Organic Farming""--Cornell students with the appropriate background are eligible to take them. Austria has an age long tradition of wine production and is an important exporter of wine. BOKU offers a BSc in ""Viticulture, Oenology and Wine Marketing.""

Austria is one of the countries with the highest percentage of recycling of used materials. Austrian citizens have a high awareness of the limitations of natural resources. BOKU Vienna is taking on the challenge to play a role in securing and consciously using their natural life resources.

Vienna, Austria's capital, has a population of 1.8 million and is the cultural, economic and political center of the country. Known for its high quality of life and music, it is often called ""The City of Dreams"" as it was the home to famous psycho-analyst Sigmund Freud.

Minimum GPA: 2.75"
University of Oxford,"Oxford, United Kingdom",Oxford,United Kingdom,"
Overview:
The University of Oxford strongly preferences (and in some cases requires) visiting student applications for the Academic Year.  Some colleges will consider an applicant to study with them for just the spring terms (Hilary and Trinity terms).*  However, priority is always given to applicants for the full academic year, and Cornell supports this.  Students considering study in Oxford should be committed to a full year of study and appreciate the full ""Oxford experience"".  
At Oxford, a ""Tutor"" is a member of academic staff. They are experts in their field, and tutorials are a chance to get individualized teaching from them. At least once a week in each subject (course) studied, groups of 1-3 students will spend an hour with their tutor, discussing a topic in depth. This personalized attention means that you will face rigorous academic challenges on a weekly basis, encouraging and facilitating your learning in a way that just isn’t possible in a lecture.  Students are expected to prepare for tutorials with intense, individual reading and writing, so you should expect to spend much more time outside of class learning your subjects.

Visiting students at Oxford should not expect to study within more than one department, except in cases where Oxford offers a joint degree (e.g. Philosophy, Politics, and Economics, or ""PPE""). Successful applicants will pursue a course of study at Oxford that most closely aligns with their major at Cornell, and who have completed at least 4-5 relevant courses within that field. Note that some subjects, such as Management/Finance are extremely limited, especially for the spring term.
Minimum GPA: 3.75"
University of Sydney,"Sydney, Australia",Sydeny,Australia,"Overview:
The University of Sydney is a Cornell Global Hub partner university. Global Hubs are Cornell's collaborative centers of engagement around the world. Hubs will give students exciting opportunities for semester-long and short-term study abroad, field experience, participation in faculty-led research, curricular pathways through majors, internships, and more.
Unique Academic Calendar - In Australia, the academic year starts in the opposite semester compared to the U.S.  ""Semester 1"" in Australia is our spring semester, and it runs from early-February to late-June.  ""Semester 2"" equates to our fall semester, and runs from late-July to to late-November. 
Spoilt for Choice - over 3000 units of study available across 16 Faculties
MATES Abroad & Social Calendar - opt-in mentor program for students to meet Australian students, ease their transition into Sydney life, foster an international culture, and share exciting adventures in Australia together
Internship Placement - credit-bearing industry or research placement run internally by the Sydney Abroad team to facilitate best-fit matching between student and host
Sydney Sustainability Program - A co-curricular program that can be taken alongside the study abroad program, where students can undertake exclusive activities and a speaker series structured around five of the UN Sustainable Development Goals.
Guaranteed Accommodation - modern, clean and well-equipped accommodation at Urbanest with a mixed international/domestic student population all within a 5 minute walk to campus
Campus Culture – ranked first in the Best Student Experience in Australia boasting more than 200 student clubs and societies, 43 sports clubs, 12 cafes and 8 bars on campus, 4 live performance spaces and 2 fitness centers
Minimum GPA: 
3.0

"
University of Sydney - Spring Friendly Program,"Sydney, Australia",Sydney,Australia,"Overview:
**Only offered in the Spring semester**
The University of Sydney is a Cornell Global Hub partner university. Global Hubs are Cornell's collaborative centers of engagement around the world. Hubs will give students exciting opportunities for semester-long and short-term study abroad, field experience, participation in faculty-led research, curricular pathways through majors, internships, and more. Ranked consistently within the top three universities in Australia, the University of Sydney is one of the country’s leading research-intensive universities and oldest member of the prestigious Group of Eight.
Minimum GPA:
3.0"
Victoria University of Wellington,"Wellington, New Zealand",Wellington,New Zealand,"Overview:
**This program is only available to Engineering students**
Study Abroad for one or two trimesters in the political, cultural and creative capital of one of the most beautiful countries in the world—New Zealand. Victoria University has a unique and proud history as a globally-ranked capital city university. It is New Zealand’s top ranked university for research quality, with a teaching focus on leadership, communication skills and creative and critical thinking. By choosing Victoria, you’ll be studying in a place where new and independent thought is encouraged and where creativity thrives.
Minimum GPA:
3.0"
Wageningen University - CALS Exchange,"Wageningen, Netherlands",Wageningen,Netherlands,"Overview:
**This program is only available to CALS students**
The distinct mission of Wageningen University & Research is ""to explore the potential of nature to improve the quality of life."" Both Wageningen University's research and education are highly acclaimed. The prominence and caliber in the field of life science and natural resources is affirmed by their high rankings as an institution. The Times Higher Education World University Rankings, ranked Wageningen University 59th overall in the world. In 2016-17 QS University Rankings, ranked Wageningen #1 in Agriculture and Forestry, and #4 in Environmental Sciences. Wageningen is the only university in the Netherlands focused on the theme ""healthy food and living environment."" Its majors align closely to CALS and the university has a longstanding collaborative and research-based partnership.  
Minimum GPA: 
2.75
"
Yonsei University,"Seoul, South Korea",Seoul,South Korea,"Overview:
Yonsei University is a large private research university located in Seoul, South Korea. Founded in 1885 by Christian missionaries, it is one of the oldest universities in South Korea and is widely regarded as the top private school in the country. It is one of the ""SKY"" universities, a historical Korean acronym used to refer to Seoul National University, Korea University, and Yonsei University, which are the three most prestigious universities in the country. Yonsei has played a unique role among Korean universities as the gateway for foreign scholars and students interested in Korean studies, language, and culture. The student body consists of over 38,000 students: approximately 27,000 undergraduate students, 12,000 graduate students, 4,500 faculty members, 6,750 staff, and over 250,000 alumni.
Note: Only students in Cornell's College of Business (Dyson, Hotel) can take business courses with a ""BIZ"" prefix. Other business-related courses may exist in other units at Yonsei.
Minimum GPA: 
2.75"
